ID,Edad ,Age,Gender,Municipalitie,Ecosystem,Community,Place,Reproduccion ,Associated,Abundace,Ene,Feb,Mar,Abr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Threats,Cotomaquilitl,Xoxoco,Pitzahuaquilitl,Xaxalto,Huitzioquilitl,Michiquilitl,Teposquilitl,Xoxoco1,Huaquilitlpoxahuac,Huaquilitlixtac,YamoleoTototlquilitl,Atetziltzi,Cayochoquilitl,Xoxoco2,Chichikquilitl,Index1,Index,Cotomaquilitl,Xoxoco_C,Pitzahuaquilitl_C,Xaxalto_C,Huitzioquilitl_C,Michiquilitl_C,Teposquilitl_C,Xoxoco1_C,Huaquilitl poxahuac_C,Huaquilitl ixtac_C,YamoleoTototlquilitl_C,Atetziltzi_C,Cayochoquilitl_C,Xoxoco2_C,Chichikquilitl_C,Observaciones_C
27,33,31-41,M,Los Reyes,Montane cloud forest,Atlanca,"cafetal, huerto",siembra,"café, cultivos de traspatio",Había más,0,0,0,0,1,1,1,0,0,0,0,0,Animales domésticos ,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,5,33.3,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
28,57,56-90,F,Los Reyes,Montane cloud forest,Atlanca,"milpa, huerto","siembra , regeneración natural",milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,No lo siembran,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4,26.7,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
29,55,42-55,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal",regeneración natural,"milpa, café",No sabe,0,0,0,0,1,1,0,0,0,0,0,0,Desinterés en el cultivo de los quelites,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,5,33.3,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
30,58,56-90,M,Los Reyes,Montane cloud forest,Atlanca,cafetal,regeneración natural,café,Había más,0,0,0,1,1,1,1,1,0,0,0,0,"Cambios en la alimentación, productos embutidos, perdida de respeto asía la naturaleza, globalización   ",1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,8,53.3,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,"macuilquilitl, xoxocolengua"
31,80,56-90,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal","siembra, regeneración natural","milpa, café",Había más,0,0,0,0,0,1,1,0,0,0,0,0,Cambios climáticos,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,20,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
32,70,56-90,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, monte","regeneración natural, siembra ","milpa, café",Había más,0,0,0,0,1,1,1,1,0,0,0,0,"No se consumen, falta de interés, animales domésticos",1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,9,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,macuilquilitl
33,46,42-55,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, monte","siembra , regeneración natural","café, milpa",Había más,0,0,0,1,1,1,1,1,0,0,0,0,"Falta de interés, animales domésticos ",1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,10,66.7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
34,40,31-41,F,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal",regeneración natural,"milpa, café",Había más,0,0,0,0,1,1,1,1,0,0,0,0,"ya no distribuyen las semillas, animales domesticos",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,12,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
35,58,56-90,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, traspatio",regeneración natural,"café, milpa",Había más,0,0,0,0,1,1,1,0,0,0,0,0,"Cambios en la alimentación, falta de interés",1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,10,66.7,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
36,21,18-30,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal","regeneración natural, siembra ","milpa, café",Había más,0,0,0,0,1,1,1,0,0,0,0,0,no hay un manejo ,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,7,46.7,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
37,33,31-41,F,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, monte",regenereción natural,"café, milpa",Sigue igual,0,0,0,0,1,1,1,0,0,0,0,0,"no hay un manejo adecuado, animales domesticos",1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,6,40,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0
38,50,42-55,F,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, monte, huerto",siembra,"café, hortalizas, milpa",Había más,0,0,0,0,1,1,1,0,0,0,0,0,Animales domésticos ,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,7,46.7,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0
39,46,42-55,F,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal",siembra,"café, milpa",Había más,0,0,0,0,1,1,1,1,0,0,0,0,"plagas, no siembrán",0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,6,40,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
40,37,31-41,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal, monte","regeneración natural, siembra ","café, milpa",Había más,0,0,0,0,1,1,1,1,0,0,0,0,"abandono de fincas, la aculturación ",1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,10,66.7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
41,59,56-90,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,Cambio climatico y animales,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,6,40,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0
42,32,31-41,M,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra y regeneracion,Milpa y arbusto,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se siembra y uso de quimicos,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,4,26.7,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0
43,60,56-90,F,Tequila,Pine-oak forest,Zacatlamanca 2,Monte,Regenerativa,Arboles y arbustos,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se le da un manejo,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,6,40,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,Macuilquilitl
44,54,42-55,F,Tequila,Pine-oak forest,Zacatlamanca 2,Traspatio,Siembra y regeneracion,Hortalizas,Sigue igual,0,0,0,0,1,1,1,0,0,0,0,0,No se siembra y emigracion,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,11,73.3,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
45,32,31-41,M,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra y regeneracion,Milpa,Sigue igual,0,0,0,0,1,1,1,0,0,0,0,0,Cambio en la alimentacion,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,5,33.3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
46,40,31-41,M,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Regenerativa,"Milpa,monte",Sigue igual,0,0,0,0,1,1,1,0,0,0,0,0,Cambio en la alimentacion,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,4,26.7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Cucuquilitl
47,44,42-55,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra y regeneracion,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Cmbio en la alimentacion y animales,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,5,33.3,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,Xochiquilitl
48,33,31-41,M,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra y regeneracion,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,Cambio climatico y uso de quimicos,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,9,60,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
49,59,56-90,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa, cafetal",Regenerativa,Milpa y café,Sigue igual,0,0,0,0,1,1,1,0,0,0,0,0,No se siembra,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,8,53.3,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
50,26,18-30,F,Tequila,Pine-oak forest,Zacatlamanca 2,Compra,,,Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se siembra,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,33.3,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
51,59,56-90,M,Tequila,Pine-oak forest,Zacatlamanca 2,Milpa y compra,Siembra y regeneracion,Milpa,Sigue igual,0,0,0,0,0,1,1,1,0,0,0,0,No se siembra y animales,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,6,40,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,"Cucujquilitl,macuilquilitl"
52,44,42-55,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,traspatio",Siembra y regeneracion,"Flores,milpa y arboles frutales",Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se siembra y cambio en la alimentacion,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,8,53.3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
